time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-31T23:43:46.170Z,19.0121,-66.8208,50,2.6,md,11,268,0.6092,0.53,pr,pr2019212018,2019-08-01T05:51:36.895Z,"58km N of Hatillo, Puerto Rico",earthquake,2.74,7.03,0.3,8,reviewed,pr,pr
2019-07-31T23:30:22.760Z,35.6595,-117.534,9.65,2.79,ml,38,36,0.04706,0.13,ci,ci38678031,2019-08-01T07:32:51.698Z,"14km ENE of Ridgecrest, CA",earthquake,0.18,0.37,0.145,25,automatic,ci,ci
2019-07-31T23:13:25.524Z,-21.3375,-174.2054,10,4.3,mb,,119,4.604,0.5,us,us600052c5,2019-10-19T21:42:17.040Z,"77km E of `Ohonua, Tonga",earthquake,15.2,2,0.168,10,reviewed,us,us
2019-07-31T22:59:46.960Z,36.3178333,-118.3455,-1.46,3.1,ml,41,80,0.2463,0.2,ci,ci38677967,2019-10-19T21:42:02.040Z,"31km W of Olancha, CA",earthquake,0.21,0.63,0.123,75,reviewed,ci,ci
2019-07-31T22:45:44.963Z,51.8985,-171.7749,48.53,3.7,mb,,185,1.526,0.69,us,us60004yaw,2019-10-19T21:42:02.040Z,"74km SSW of Amukta Island, Alaska",earthquake,8.6,9.7,0.084,36,reviewed,us,us
2019-07-31T21:52:58.200Z,36.1563333,-117.8821667,1.16,2.74,ml,23,69,0.04454,0.14,ci,ci38677791,2019-08-01T03:37:42.267Z,"14km NNE of Coso Junction, CA",earthquake,0.26,0.37,0.152,26,automatic,ci,ci
2019-07-31T21:14:54.330Z,19.5556,-67.787,58,2.98,md,17,226,1.2109,0.7,pr,pr2019212017,2019-10-19T21:42:02.040Z,"105km NE of Punta Cana, Dominican Republic",earthquake,4.059,14.4,0.28,13,reviewed,pr,pr
2019-07-31T20:44:08.483Z,7.5146,126.8866,35,4.5,mb,,126,1.37,0.96,us,us60004y82,2019-10-19T21:42:02.040Z,"34km ENE of Baculin, Philippines",earthquake,10,2,0.095,32,reviewed,us,us
2019-07-31T20:20:49.927Z,33.177,47.4846,10,4.3,mb,,58,2.425,1.25,us,us60004y79,2019-10-19T21:42:02.040Z,"21km NNE of Abdanan, Iran",earthquake,6.2,1.9,0.09,35,reviewed,us,us
2019-07-31T19:55:20.535Z,-0.7631,132.9448,35,4,mb,,209,2.251,0.4,us,us60004y6z,2019-10-19T21:42:02.040Z,"127km W of Manokwari, Indonesia",earthquake,10.5,2,0.173,9,reviewed,us,us
2019-07-31T19:20:39.134Z,20.8244,121.8087,10,4.5,mb,,132,2.599,1.2,us,us600052c0,2019-10-19T21:42:17.040Z,"5km NW of Itbayat, Philippines",earthquake,10.7,1.9,0.104,27,reviewed,us,us
2019-07-31T19:11:44.629Z,-16.223,167.9933,188.78,5,mb,,62,5.999,0.77,us,us60004y56,2019-10-19T21:42:02.040Z,"62km E of Lakatoro, Vanuatu",earthquake,8.1,4.6,0.084,45,reviewed,us,us
2019-07-31T18:48:56.629Z,30.4536,138.3991,438.26,4.4,mb,,108,2.907,0.66,us,us60004y4j,2019-10-19T21:42:01.040Z,"Izu Islands, Japan region",earthquake,10.7,5.8,0.031,297,reviewed,us,us
2019-07-31T18:43:07.947Z,56.6335,-157.1212,60.4,3.1,ml,,,,0.56,ak,ak0199qwwlxj,2019-10-19T21:42:01.040Z,"109km ENE of Chignik Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-31T18:41:52.580Z,19.2173,-65.7331,29,2.87,md,14,302,0.9735,0.23,pr,pr2019212016,2019-10-19T21:42:01.040Z,"83km N of Vieques, Puerto Rico",earthquake,1.27,14.6,0.44,12,reviewed,pr,pr
2019-07-31T18:35:53.399Z,-0.7656,133.2522,41.78,5.2,mww,,41,2.362,0.9,us,us60004y4a,2019-10-19T21:42:01.040Z,"93km W of Manokwari, Indonesia",earthquake,7.5,5.6,0.086,13,reviewed,us,us
2019-07-31T18:15:15.170Z,40.3888333,-124.8305,20.82,2.77,md,55,232,0.3862,0.14,nc,nc73239501,2019-08-01T07:12:03.337Z,"47km W of Petrolia, CA",earthquake,0.93,0.75,0.166,50,reviewed,nc,nc
2019-07-31T17:06:28.430Z,35.7058333,-117.5301667,10.16,2.59,ml,35,52,0.08942,0.14,ci,ci38676663,2019-07-31T17:16:54.840Z,"13km WSW of Searles Valley, CA",earthquake,0.2,0.48,0.121,25,automatic,ci,ci
2019-07-31T16:39:19.892Z,6.4409,126.0791,70.48,4.4,mb,,128,0.798,0.56,us,us60004y2e,2019-10-19T21:42:01.040Z,"5km SW of Tiblawan, Philippines",earthquake,11.6,7.2,0.13,17,reviewed,us,us
2019-07-31T16:10:20.012Z,21.5889,143.0871,316.84,4.7,mb,,25,5.543,0.77,us,us60004y0s,2019-10-19T21:42:01.040Z,"221km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,8.9,5.8,0.028,400,reviewed,us,us
2019-07-31T15:02:33.853Z,-16.1985,167.9982,181,6.6,mww,,30,6.024,0.99,us,us60004xz4,2019-10-19T21:42:01.040Z,"62km E of Lakatoro, Vanuatu",earthquake,7.6,1.8,0.038,65,reviewed,us,us
2019-07-31T14:21:21.248Z,40.5335,20.7484,10,4.6,mww,,42,0.543,0.87,us,us60004xyi,2019-10-19T21:42:01.040Z,"9km SSW of Korce, Albania",earthquake,4.9,1.9,0.083,14,reviewed,us,us
2019-07-31T13:12:43.680Z,19.066,-65.0075,42,3.42,md,15,327,1.2495,0.26,pr,pr2019212014,2019-10-19T21:42:01.040Z,"84km NNW of Road Town, British Virgin Islands",earthquake,2.2,10.69,0.36,13,reviewed,pr,pr
2019-07-31T13:03:35.240Z,35.6656667,-117.539,9.54,2.82,ml,33,46,0.04996,0.15,ci,ci38676103,2019-07-31T15:21:44.270Z,"13km ENE of Ridgecrest, CA",earthquake,0.23,0.49,0.175,25,automatic,ci,ci
